Ticker,Sector,Open,Close,Volume,SharesOutstanding,Name
MMM,Management of Companies and Enterprises,201.71,201.86,1537228,579675002,3M Co.
ABT,Manufacturing,118.23,117.13,4629348,1776820148,Abbott Laboratories
ABBV,Manufacturing,117.52,116.12,5577829,1766222336,Abbvie Inc
ABMD,Manufacturing,276.4,280.0,206662,45230966,Abiomed Inc.
ACN,Information,285.0,283.38,2210223,665114728,Accenture plc - Class A
ATVI,Information,96.97,95.37,5431890,777016759,Activision Blizzard Inc
ADBE,Information,494.19,488.07,1568115,478000000,Adobe Inc
AMD,Manufacturing,78.55,77.17,40201088,1215020976,Advanced Micro Devices Inc.
AAP,Retail Trade,197.52,194.94,707223,65524420,Advance Auto Parts Inc
AES,Utilities,25.49,25.36,7333932,666257334,AES Corp.
AFL,Finance and Insurance,55.85,55.99,3058697,679667234,Aflac Inc.
A,"Professional, Scientific, and Technical Services",132.67,132.3,1445930,304697515,Agilent Technologies Inc.
APD,Manufacturing,298.15,298.19,672882,221314258,Air Products & Chemicals Inc.
AKAM,Information,113.2,113.53,2192162,162991685,Akamai Technologies Inc
ALK,Transportation and Warehousing,68.88,68.07,1083490,124481793,Alaska Air Group Inc.
ALB,Manufacturing,159.44,159.58,1082752,116721826,Albemarle Corp.
ARE,Finance and Insurance,174.91,174.6,1145147,147503288,Alexandria Real Estate Equities Inc.
ALXN,Manufacturing,178.07,177.72,1990950,221019230,Alexion Pharmaceuticals Inc.
ALGN,Manufacturing,594.1,591.75,543990,79136575,"Align Technology, Inc."
ALLE,Administrative and Support and Waste Management and Remediation Services,138.24,137.51,471895,89978097,Allegion plc
LNT,Utilities,57.49,58.11,1866299,250134552,Alliant Energy Corp.
ALL,Finance and Insurance,136.39,137.43,2741395,299338684,Allstate Corp (The)
GOOGL,Information,2317.41,2294.13,2031590,300746844,Alphabet Inc - Class A
GOOG,Information,2365.99,2345.1,1141632,323580001,Alphabet Inc - Class C
MO,Manufacturing,50.19,50.0,5828244,1850637974,Altria Group Inc.
AMZN,Retail Trade,3250.0,3203.08,4104882,504323736,Amazon.com Inc.
AMCR,,11.99,11.98,4193182,1561977648,Amcor Plc
AEE,Utilities,84.55,85.11,3299144,255552619,Ameren Corp.
AAL,Transportation and Warehousing,22.71,22.57,26246519,641383123,American Airlines Group Inc
AEP,Utilities,86.61,86.65,2015921,499750400,American Electric Power Company Inc.
AXP,Finance and Insurance,156.7,156.87,3424122,803302859,American Express Co.
AIG,Finance and Insurance,50.75,51.31,4198760,858140647,American International Group Inc
AMT,Finance and Insurance,250.8,249.95,1586433,444796083,American Tower Corp.
AWK,Utilities,154.66,155.12,1605291,181469196,American Water Works Co. Inc.
AMP,Finance and Insurance,253.38,254.27,715380,115904879,Ameriprise Financial Inc
ABC,Wholesale Trade,120.7,120.07,806098,205410717,Amerisource Bergen Corp.
AME,Manufacturing,133.02,132.85,1615011,230919176,Ametek Inc
AMGN,Manufacturing,253.71,251.01,2177900,574553986,AMGEN Inc.
APH,Manufacturing,66.9,66.35,3645114,597615720,Amphenol Corp. - Class A
ADI,Manufacturing,159.69,159.36,3526671,368826918,Analog Devices Inc.
ANSS,Information,336.3,330.26,270860,87151573,Ansys Inc. - Registered Shares
ANTM,Finance and Insurance,392.87,396.08,723440,244840654,Anthem Inc
AON,Finance and Insurance,254.39,253.21,1895253,225647250,Aon plc. - Class A
AOS,Manufacturing,69.12,69.27,3089879,134466854,A.O. Smith Corp.
APA,,21.07,20.89,6632829,377972835,APA Corporation
AIV,Finance and Insurance,6.82,6.84,2130465,150066381,Apartment Investment & Management Co. - Class A
AAPL,Manufacturing,127.82,125.43,79295436,16687631000,Apple Inc
AMAT,Manufacturing,129.85,128.66,14252355,917660832,Applied Materials Inc.
APTV,Manufacturing,138.56,140.46,1351233,270462749,Aptiv PLC
ADM,Manufacturing,66.44,66.98,3776421,558702110,Archer Daniels Midland Co.
ANET,"Professional, Scientific, and Technical Services",332.81,332.13,441062,76271362,Arista Networks Inc
