Ticker,Sector,Open,Close,Volume,SharesOutstanding,Name
MMM,Industrials,201.71,201.86,1477200,579675008,3M Company
ABT,Healthcare,118.23,117.13,4481874,1771529984,Abbott Laboratories
ABBV,Healthcare,117.52,116.12,5051060,1764829952,AbbVie Inc.
ABMD,Healthcare,276.4,280.0,200209,45270900,"ABIOMED, Inc."
ACN,Technology,285.0,283.38,2210223,635646976,Accenture plc
ATVI,Communication Services,96.97,95.37,5431890,777011968,"Activision Blizzard, Inc"
ADBE,Technology,494.19,488.07,1568115,478000000,Adobe Inc.
AMD,Technology,78.55,77.17,40133093,1215020032,"Advanced Micro Devices, Inc."
AAP,Consumer Cyclical,197.52,194.94,690406,65261000,Advance Auto Parts Inc Advance 
AES,Utilities,25.49,25.36,7333932,668112000,The AES Corporation
AFL,Financial Services,55.85,55.99,3058697,679667008,AFLAC Incorporated
A,Healthcare,132.67,132.3,1393283,304697984,"Agilent Technologies, Inc."
APD,Basic Materials,298.15,298.19,672882,221276992,"Air Products and Chemicals, Inc"
AKAM,Technology,113.2,113.53,2181785,163262000,"Akamai Technologies, Inc."
ALK,Industrials,68.88,68.07,1083490,124442000,"Alaska Air Group, Inc."
ALB,Basic Materials,159.44,159.58,1082752,116718000,Albemarle Corporation
ARE,Real Estate,174.91,174.6,1145147,147503008,Alexandria Real Estate Equities
ALXN,Healthcare,178.07,177.72,1641412,221019008,"Alexion Pharmaceuticals, Inc."
ALGN,Healthcare,594.1,591.75,543990,79135600,"Align Technology, Inc."
ALLE,Industrials,138.24,137.51,459245,89978096,Allegion plc
LNT,Utilities,57.49,58.11,1822479,250130000,Alliant Energy Corporation
ALL,Financial Services,136.39,137.43,2741395,300342016,Allstate Corporation (The)
GOOGL,Communication Services,2317.41,2294.13,2031590,300747008,Alphabet Inc.
GOOG,Communication Services,2365.99,2345.1,1141632,323580000,Alphabet Inc.
MO,Consumer Defensive,50.19,50.0,5676075,1850640000,"Altria Group, Inc."
AMZN,Consumer Cyclical,3250.0,3203.08,4104882,504324000,"Amazon.com, Inc."
AMCR,Consumer Cyclical,11.99,11.98,4193182,1561980032,Amcor plc
AEE,Utilities,84.55,85.11,3299144,255410000,Ameren Corporation
AAL,Industrials,22.71,22.57,26246519,641382976,"American Airlines Group, Inc."
AEP,Utilities,86.61,86.65,2015921,499750016,American Electric Power Company
AXP,Financial Services,156.7,156.87,3318598,803302976,American Express Company
AIG,Financial Services,50.75,51.31,4198760,862345024,"American International Group, I"
AMT,Real Estate,250.8,249.95,1091147,444796992,American Tower Corporation (REI
AWK,Utilities,154.66,155.12,1605291,181468992,"American Water Works Company, I"
AMP,Financial Services,253.38,254.27,644206,116000000,"Ameriprise Financial, Inc."
ABC,Healthcare,120.7,120.07,806098,204706000,AmerisourceBergen Corporation
AME,Industrials,133.02,132.85,1615011,230800000,"AMETEK, Inc."
AMGN,Healthcare,253.71,251.01,2176235,574553984,Amgen Inc.
APH,Technology,66.9,66.35,3490111,597616000,Amphenol Corporation
ADI,Technology,159.69,159.36,3526671,368894016,"Analog Devices, Inc."
ANSS,Technology,336.3,330.26,270860,87135504,"ANSYS, Inc."
ANTM,Healthcare,392.87,396.08,693948,244840992,"Anthem, Inc."
AON,Financial Services,254.39,253.21,1837249,225647008,Aon plc
AOS,Industrials,69.12,69.27,3089879,134467008,A.O. Smith Corporation
APA,Energy,21.07,20.89,6632829,377967008,APA Corporation
AIV,Real Estate,6.82,6.84,2113972,150018000,Apartment Investment and Manage
AAPL,Technology,127.82,125.43,79152773,16687599616,Apple Inc.
AMAT,Technology,129.85,128.66,14252355,917660992,"Applied Materials, Inc."
APTV,Consumer Cyclical,138.56,140.46,1323511,270463008,Aptiv PLC
ADM,Consumer Defensive,66.44,66.98,3776421,558702016,Archer-Daniels-Midland Company
ANET,Technology,332.81,332.13,441062,76271400,"Arista Networks, Inc."
AJG,Financial Services,146.54,144.9,1070526,195887008,Arthur J. Gallagher & Co.
AIZ,Financial Services,158.85,158.91,604964,60519000,"Assurant, Inc."
T,Communication Services,30.01,30.01,74569629,7139999744,AT&T Inc.
ATO,Utilities,98.09,98.18,1746854,128161000,Atmos Energy Corporation
ADSK,Technology,283.63,281.68,996278,219592000,"Autodesk, Inc."
ADP,Industrials,194.8,195.28,1134803,425518016,"Automatic Data Processing, Inc."
AZO,Consumer Cyclical,1475.01,1460.26,267404,22036800,"AutoZone, Inc."
AVB,Real Estate,200.52,200.41,738577,139604000,"AvalonBay Communities, Inc."
AVY,Industrials,217.87,216.62,484705,83019504,Avery Dennison Corporation
BKR,Energy,25.52,25.54,6377894,773843968,Baker Hughes Company
BLL,Consumer Cyclical,87.41,86.78,1532461,328068000,Ball Corporation
BAC,Financial Services,42.02,42.4,39887346,8569319936,Bank of America Corporation
BK,Financial Services,50.8,51.56,3587344,875481024,The Bank of New York Mellon Cor
BAX,Healthcare,83.07,83.06,1596172,502852000,Baxter International Inc.
BDX,Healthcare,245.83,244.48,1016076,290560000,"Becton, Dickinson and Company"
BBY,Consumer Cyclical,115.61,114.93,2549052,250044992,"Best Buy Co., Inc."
BIO,Healthcare,602.22,594.74,83245,24692600,"Bio-Rad Laboratories, Inc."
BIIB,Healthcare,288.24,283.19,940406,150555008,Biogen Inc.
BLK,Financial Services,848.52,860.77,692850,152640000,"BlackRock, Inc."
BA,Industrials,232.9,234.82,16578995,584809984,Boeing Company (The)
BKNG,Consumer Cyclical,2324.57,2293.38,263248,41052700,Booking Holdings Inc. Common St
BWA,Consumer Cyclical,50.12,50.51,1539059,239020992,BorgWarner Inc.
BXP,Real Estate,110.87,112.08,1180501,156074000,"Boston Properties, Inc."
BMY,Healthcare,67.24,67.05,9436621,2232839936,Bristol-Myers Squibb Company
AVGO,Technology,457.99,451.24,1321815,408302016,Broadcom Inc.
BR,Technology,160.67,159.27,595377,115799000,"Broadridge Financial Solutions,"
CHRW,Industrials,96.37,96.58,2357964,132989000,"C.H. Robinson Worldwide, Inc."
